species,Category
Adlercreutzia_equolifaciens,CD-depleted
Agathobaculum_butyriciproducens,CD-depleted
Akkermansia_muciniphila,CD-depleted
Alistipes_putredinis,CD-depleted
Anaerobutyricum_hallii,CD-depleted
Anaerobutyricum_soehngenii,CD-depleted
Bacteroides_caccae,CD-depleted
Bacteroides_intestinalis,CD-depleted
Bacteroides_stercoris,CD-depleted
Bacteroides_uniformis,CD-depleted
Blautia_faecicola,CD-depleted
Blautia_faecis,CD-depleted
Blautia_glucerasea,CD-depleted
Blautia_luti,CD-depleted
Blautia_massiliensis,CD-depleted
Blautia_obeum,CD-depleted
Blautia_SGB4815,CD-depleted
Blautia_sp_Marseille_P3087,CD-depleted
Blautia_stercoris,CD-depleted
Butyricicoccus_sp_AM29_23AC,CD-depleted
Butyricimonas_SGB15260,CD-depleted
Candidatus_Cibionibacter_quicibialis,CD-depleted
Catenibacterium_SGB4425,CD-depleted
Christensenella_minuta,CD-depleted
Christensenellaceae_bacterium_NSJ_63,CD-depleted
Clostridiaceae_bacterium,CD-depleted
Clostridiaceae_bacterium_AF18_31LB,CD-depleted
Clostridiaceae_bacterium_Marseille_Q4149,CD-depleted
Clostridiales_bacterium_KLE1615,CD-depleted
Clostridiales_Family_XIII_bacterium_BX16,CD-depleted
Clostridium_fessum,CD-depleted
Clostridium_leptum,CD-depleted
Clostridium_saudiense,CD-depleted
Clostridium_SGB4750,CD-depleted
Clostridium_SGB4751,CD-depleted
Clostridium_sp_1001270H_150608_G6,CD-depleted
Clostridium_sp_1001270J_160509_D11,CD-depleted
Clostridium_sp_AF34_10BH,CD-depleted
Clostridium_sp_AF36_4,CD-depleted
Clostridium_sp_AM22_11AC,CD-depleted
Clostridium_sp_AM49_4BH,CD-depleted
Clostridium_sp_NSJ_42,CD-depleted
Collinsella_aerofaciens,CD-depleted
Collinsella_SGB14861,CD-depleted
Coprococcus_catus,CD-depleted
Coprococcus_comes,CD-depleted
Coprococcus_eutactus,CD-depleted
Coprococcus_SGB4669,CD-depleted
Dorea_formicigenerans,CD-depleted
Dorea_longicatena,CD-depleted
Dorea_sp_AF24_7LB,CD-depleted
Dorea_sp_AF36_15AT,CD-depleted
Enterococcus_faecalis,CD-enriched
Enterococcus_faecium,CD-enriched
Enterococcus_SGB6173,CD-depleted
Erysipelatoclostridium_ramosum,CD-enriched
Escherichia_coli,CD-enriched
Eubacteriaceae_bacterium,CD-depleted
Eubacterium_ramulus,CD-depleted
Eubacterium_rectale,CD-depleted
Eubacterium_sp_AF34_35BH,CD-depleted
Evtepia_gabavorous,CD-depleted
Faecalibacillus_intestinalis,CD-depleted
Faecalibacterium_prausnitzii,CD-depleted
Faecalibacterium_SGB15346,CD-depleted
Faecalicatena_fissicatena,CD-depleted
Firmicutes_bacterium_AF16_15,CD-depleted
Fusicatenibacter_saccharivorans,CD-depleted
Fusobacterium_nucleatum,CD-enriched
Gemmiger_formicilis,CD-depleted
GGB3256_SGB4303,CD-depleted
GGB3277_SGB4327,CD-depleted
GGB35068_SGB47850,CD-depleted
GGB4456_SGB6141,CD-depleted
GGB51441_SGB71759,CD-depleted
GGB79734_SGB15291,CD-depleted
GGB80011_SGB15265,CD-depleted
GGB9561_SGB14972,CD-depleted
GGB9627_SGB15081,CD-depleted
GGB9634_SGB15093,CD-depleted
GGB9699_SGB15216,CD-depleted
GGB9758_SGB15368,CD-depleted
GGB9759_SGB15370,CD-depleted
GGB9760_SGB15373,CD-depleted
GGB9766_SGB15383,CD-depleted
Lachnospira_eligens,CD-depleted
Lachnospira_pectinoschiza,CD-depleted
Lachnospira_sp_NSJ_43,CD-depleted
Lachnospiraceae_bacterium,CD-depleted
Lachnospiraceae_bacterium_BX3,CD-depleted
Lachnospiraceae_bacterium_Marseille_Q4251,CD-depleted
Lachnospiraceae_bacterium_NSJ_29,CD-depleted
Lachnospiraceae_bacterium_NSJ_46,CD-depleted
Lachnospiraceae_bacterium_OF09_6,CD-depleted
Lacrimispora_celerecrescens,CD-depleted
Limosilactobacillus_fermentum,CD-enriched
Mogibacterium_sp_NSJ_24,CD-depleted
Oscillibacter_sp_ER4,CD-depleted
Oscillospiraceae_bacterium_Marseille_Q3528,CD-depleted
Parabacteroides_merdae,CD-depleted
Phascolarctobacterium_faecium,CD-depleted
Phocaeicola_plebeius,CD-depleted
Phocaeicola_SGB6473,CD-depleted
Phocaeicola_vulgatus,CD-depleted
Romboutsia_timonensis,CD-depleted
Roseburia_faecis,CD-depleted
Roseburia_intestinalis,CD-depleted
Roseburia_inulinivorans,CD-depleted
Roseburia_sp_AM16_25,CD-depleted
Ruminococcus_bicirculans,CD-depleted
Ruminococcus_bromii,CD-depleted
Ruminococcus_lactaris,CD-depleted
Ruminococcus_sp_AF41_9,CD-depleted
Ruminococcus_sp_BSD2780120874_150323_B10,CD-depleted
Ruminococcus_sp_NSJ_13,CD-depleted
Ruminococcus_torques,CD-depleted
Ruthenibacterium_lactatiformans,CD-depleted
Streptococcus_SGB14888,CD-depleted
Vescimonas_coprocola,CD-depleted
Waltera_intestinalis,CD-depleted
